Country,Year,Emissions,Income
Afghanistan,1963,0.0741,1510
Afghanistan,1964,0.0861,1500
Afghanistan,1965,0.101,1500
Afghanistan,1966,0.107,1480
Afghanistan,1967,0.123,1480
Afghanistan,1968,0.115,1500
Afghanistan,1969,0.0865,1490
Afghanistan,1970,0.15,1480
Afghanistan,1971,0.165,1440
Afghanistan,1972,0.13,1170
Afghanistan,1973,0.135,1180
Albania,1963,1.16,2910
Albania,1964,1.09,3010
Albania,1965,1.15,3130
Albania,1966,1.31,3250
Albania,1967,1.34,3380
Albania,1968,1.5,3500
Albania,1969,1.55,3630
Albania,1970,1.74,3770
Albania,1971,1.98,3920
Albania,1972,2.5,4080
Albania,1973,2.29,4290
Algeria,1963,0.455,4870
Algeria,1964,0.462,5220
Algeria,1965,0.525,5550
Algeria,1966,0.653,5050
Algeria,1967,0.636,5460
Algeria,1968,0.663,5880
Algeria,1969,0.802,6200
Algeria,1970,1.04,6620
Algeria,1971,1.26,5830
Algeria,1972,1.85,6940
Algeria,1973,2.44,7060
Angola,1963,0.203,2560
Angola,1964,0.213,2800
Angola,1965,0.206,2960
Angola,1966,0.269,3080
Angola,1967,0.172,3200
Angola,1968,0.289,3100
Angola,1969,0.48,3130
Angola,1970,0.608,3280
Angola,1971,0.564,3200
Angola,1972,0.721,3170
Angola,1973,0.751,3320
Antigua and Barbuda,1963,1.49,3650
Antigua and Barbuda,1964,1.59,3780
Antigua and Barbuda,1965,2.56,3920
Antigua and Barbuda,1966,5.81,4070
Antigua and Barbuda,1967,9.22,4210
Antigua and Barbuda,1968,15.8,4370
Antigua and Barbuda,1969,19.8,4520
Antigua and Barbuda,1970,7.2,4680
Antigua and Barbuda,1971,6.61,5080
Antigua and Barbuda,1972,5.83,5530
Antigua and Barbuda,1973,5.19,6110
Argentina,1963,2.33,10300
Argentina,1964,2.55,11300
Argentina,1965,2.66,12200
Argentina,1966,2.81,12200
Argentina,1967,2.87,12400
Argentina,1968,2.98,12800
Argentina,1969,3.29,13800
Argentina,1970,3.46,14400
Argentina,1971,3.67,14900
Argentina,1972,3.66,15200
Argentina,1973,3.75,15900
Armenia,1963,4.04,6610
Armenia,1964,4.16,7280
Armenia,1965,4.28,7510
Armenia,1966,4.39,7700
Armenia,1967,4.47,7850
Armenia,1968,4.48,8110
Armenia,1969,4.55,8030
Armenia,1970,4.67,8440
Armenia,1971,4.84,8450
Armenia,1972,4.97,8280
Armenia,1973,5.07,8740
Australia,1963,9.31,17400
Australia,1964,9.85,18200
Australia,1965,10.7,18700
Australia,1966,10.4,18900
Australia,1967,10.9,19800
Australia,1968,11,20500
Australia,1969,11.4,21300
Australia,1970,11.5,22100
Australia,1971,11.7,22600
Australia,1972,11.9,22800
Australia,1973,12.7,23600
Austria,1963,5.13,13600
Austria,1964,5.36,14400
Austria,1965,5.23,14800
Austria,1966,5.34,15600
Austria,1967,5.4,16100
Austria,1968,5.69,16800
Austria,1969,5.97,17900
Austria,1970,6.74,19300
Austria,1971,6.9,20300
Austria,1972,7.4,21500
Austria,1973,7.9,22600
Azerbaijan,1963,5.55,5510
Azerbaijan,1964,5.72,6090
Azerbaijan,1965,5.89,6320
Azerbaijan,1966,6.06,6510
Azerbaijan,1967,6.18,6680
Azerbaijan,1968,6.2,6950
Azerbaijan,1969,6.32,6930
Azerbaijan,1970,6.51,7340
Azerbaijan,1971,6.77,7410
Azerbaijan,1972,7,7330
Azerbaijan,1973,7.17,7810
Bahamas,1963,5.56,22800
Bahamas,1964,8.12,24100
Bahamas,1965,9.4,25600
Bahamas,1966,7.47,26900
Bahamas,1967,11.2,28400
Bahamas,1968,10.3,29800
Bahamas,1969,10.6,31600
Bahamas,1970,15.2,29100
Bahamas,1971,38.7,28900
Bahamas,1972,36.5,27500
Bahamas,1973,43.4,29100
Bahrain,1963,6.71,27700
Bahrain,1964,8.74,28600
Bahrain,1965,6.55,29800
Bahrain,1966,3.38,31100
Bahrain,1967,5.12,32500
Bahrain,1968,5.5,33900
Bahrain,1969,6.18,35400
Bahrain,1970,12.2,37100
Bahrain,1971,13.8,39000
Bahrain,1972,16.1,41100
Bahrain,1973,23.1,42800
Bangladesh,1963,0.0555,1130
Bangladesh,1964,0.0554,1140
Bangladesh,1965,0.0564,1180
Bangladesh,1966,0.0556,1190
Bangladesh,1967,0.0571,1150
Bangladesh,1968,0.0635,1240
Bangladesh,1969,0.0599,1240
Bangladesh,1970,0.0593,1280
Bangladesh,1971,0.0551,1200
Bangladesh,1972,0.0527,1050
Bangladesh,1973,0.0673,1040
Barbados,1963,0.816,6960
Barbados,1964,0.766,7310
Barbados,1965,0.872,7430
Barbados,1966,1.13,7870
Barbados,1967,1.43,8560
Barbados,1968,1.85,9600
Barbados,1969,2.02,10500
Barbados,1970,1.8,11600
Barbados,1971,2.02,11900
Barbados,1972,2.08,11900
Barbados,1973,1.98,12000
Belarus,1963,6.3,5350
Belarus,1964,6.64,5980
Belarus,1965,6.98,6260
Belarus,1966,7.3,6510
Belarus,1967,7.56,6740
Belarus,1968,7.7,7080
Belarus,1969,7.95,7130
Belarus,1970,8.29,7610
Belarus,1971,8.73,7750
Belarus,1972,9.12,7720
Belarus,1973,9.43,8300
Belgium,1963,11.3,14700
Belgium,1964,11,15700
Belgium,1965,11.2,16200
Belgium,1966,11.1,16600
Belgium,1967,11.3,17300
Belgium,1968,12.4,18000
Belgium,1969,12.9,19200
Belgium,1970,13,20400
Belgium,1971,12.6,21200
Belgium,1972,13.5,22300
Belgium,1973,14.3,23700
Belize,1963,0.622,2530
Belize,1964,0.818,2570
Belize,1965,0.795,2620
Belize,1966,0.738,2680
Belize,1967,1.07,2750
Belize,1968,0.885,2890
Belize,1969,1.14,2980
Belize,1970,0.99,3070
Belize,1971,1.15,3210
Belize,1972,1.24,3300
Belize,1973,1.13,3230
Benin,1963,0.0476,1670
Benin,1964,0.0553,1740
Benin,1965,0.0571,1790
Benin,1966,0.0424,1810
Benin,1967,0.0523,1790
Benin,1968,0.0552,1810
Benin,1969,0.0707,1820
Benin,1970,0.0969,1810
Benin,1971,0.0986,1810
Benin,1972,0.128,1930
Benin,1973,0.122,1970
Bolivia,1963,0.313,3230
Bolivia,1964,0.374,3320
Bolivia,1965,0.374,3420
Bolivia,1966,0.41,3590
Bolivia,1967,0.45,3740
Bolivia,1968,0.507,3980
Bolivia,1969,0.581,4080
Bolivia,1970,0.554,4200
Bolivia,1971,0.668,4270
Bolivia,1972,0.763,4400
Bolivia,1973,0.722,4610
Bosnia and Herzegovina,1963,1.84,3690
Bosnia and Herzegovina,1964,2.05,4030
Bosnia and Herzegovina,1965,2.07,4080
Bosnia and Herzegovina,1966,2.02,4270
Bosnia and Herzegovina,1967,2.02,4100
Bosnia and Herzegovina,1968,2.13,4160
Bosnia and Herzegovina,1969,2.19,4380
Bosnia and Herzegovina,1970,2.83,4420
Bosnia and Herzegovina,1971,3.01,4580
Bosnia and Herzegovina,1972,2.79,4650
Bosnia and Herzegovina,1973,3.29,4700
Brazil,1963,0.706,4280
Brazil,1964,0.7,4320
Brazil,1965,0.676,4310
Brazil,1966,0.75,4490
Brazil,1967,0.751,4570
Brazil,1968,0.856,4900
Brazil,1969,0.908,5250
Brazil,1970,0.984,5670
Brazil,1971,1.05,6170
Brazil,1972,1.14,6760
Brazil,1973,1.29,7550
Brunei,1963,3.8,74800
Brunei,1964,3.49,75600
Brunei,1965,3.26,76400
Brunei,1966,4.58,77300
Brunei,1967,3.91,78100
Brunei,1968,3.64,79000
Brunei,1969,3.95,79800
Brunei,1970,63.4,80700
