Year,European Union,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1960,58.67764105,49.46610479,34.9190995,69.91840256,16.74360637,14.69011222
1961,59.21740313,50.26867123,35.67860613,70.31954524,16.87573363,14.99063099
1962,59.75380286,51.08175701,36.44716287,70.73978371,17.06387032,15.29690016
1963,60.33976997,51.89689914,37.22547771,71.15636541,17.25377509,15.62108941
1964,60.92464775,52.71674381,38.03200066,71.56938765,17.44531643,15.96097235
1965,61.51239281,53.48089587,38.87047628,71.97871764,17.63693809,16.31178989
1966,62.08384093,54.24400162,39.66294462,72.3826157,17.83004011,16.6586705
1967,62.62224853,55.00573786,40.39868559,72.76219843,18.02512496,17.01416357
1968,63.12620526,55.76831821,41.13805162,73.13854969,18.22337578,17.3798519
1969,63.57837082,56.5270451,41.88816049,73.5112239,18.42692883,17.75679776
1970,64.02397502,57.28029936,42.65394604,73.8016579,18.6377186,18.1250791
1971,64.46902307,58.03941299,43.40294808,73.85612635,18.88049995,18.5290116
1972,64.87942514,58.79221096,44.16260981,73.85386055,19.20790804,18.94836673
1973,65.27137464,59.52189054,44.93586594,73.85182834,19.54414639,19.37109257
1974,65.65121151,60.24451859,45.67591684,73.85012852,19.8992223,19.79348023
1975,65.98818692,60.96651127,46.38955334,73.84830487,20.28295603,20.22802002
1976,66.29599683,61.6852054,47.09115665,73.84743795,20.67323295,20.67785348
1977,66.62272468,62.40300282,47.73884372,73.86058101,21.07096103,21.1211524
1978,66.95843973,63.1179943,48.36386224,73.87244749,21.47812536,21.56987229
1979,67.28227624,63.82599311,48.9830521,73.88512697,21.89650456,21.96464625
1980,67.5903726,64.53256742,49.60953244,73.9311267,22.32941437,22.33942368
1981,67.86225918,65.22076254,50.23406402,74.07345154,22.7096673,22.76714721
1982,68.05921193,65.8756991,50.8503573,74.22676191,22.96555316,23.20089534
1983,68.22258483,66.51217511,51.45998323,74.37972645,23.22420574,23.65316487
1984,68.35644436,67.14170869,52.05851444,74.53080075,23.48518503,24.1380096
1985,68.47998262,67.76465356,52.64041267,74.68169241,23.74677162,24.66059793
1986,68.6307377,68.37249775,53.21522238,74.83157434,24.01010505,25.19904114
1987,68.84005633,68.96816221,53.69743349,74.96854138,24.27471491,25.73502771
1988,69.0450585,69.55512289,54.10259572,75.10536467,24.54137814,26.27208765
1989,69.19925114,70.12992345,54.47276422,75.24090146,24.80303478,26.80568082
1990,69.36894408,70.68828868,54.94044384,75.43326939,25.06482023,27.36408167
1991,69.55914572,71.20981915,55.31853619,75.79777241,25.31385722,27.84232301
1992,69.71599083,71.70828742,55.42090242,76.18057399,25.5353508,28.31125474
1993,69.84575957,72.19397215,55.84703676,76.5587808,25.75790795,28.76676298
1994,69.98610226,72.68486564,56.25175628,76.93319284,25.98297928,29.1658087
1995,70.12687931,73.17108052,56.83165409,77.30302614,26.21037552,29.5432678
1996,70.26683112,73.63568815,57.15743851,77.67168444,26.44243639,29.91034706
1997,70.40152068,74.10919996,57.49511649,78.04520539,26.67762863,30.27967984
1998,70.53313067,74.57735164,57.85394753,78.41549319,26.91358452,30.63680531
1999,70.66972828,75.02987535,58.22326935,78.78166901,27.14705747,30.99351149
2000,70.82571156,75.47822411,58.59567391,79.10242412,27.38130269,31.35364903
2001,71.01222186,75.83698077,58.97171057,79.29464184,27.65353851,31.78032716
2002,71.24038316,76.16652028,59.34295394,79.46014243,27.99169671,32.22036093
2003,71.46274788,76.48826382,59.71633983,79.62477618,28.33217121,32.66512975
2004,71.68110575,76.79652688,60.09818811,79.78929336,28.67732874,33.11568728
2005,71.89993089,77.09900813,60.52415688,79.95100922,29.02586426,33.57925551
2006,72.11664854,77.39826338,60.96673167,80.11409653,29.37782748,34.03939095
2007,72.33639871,77.69395533,61.39518465,80.28532991,29.73363815,34.45810135
2008,72.55503086,77.98385707,61.81617376,80.45557959,30.09297856,34.96559309
2009,72.7634111,78.26703004,62.23800737,80.62475234,30.45394485,35.47803732
2010,72.97232615,78.54569366,62.656622,80.79198564,30.81736726,35.9983829
2011,73.16805773,78.82516383,63.00198346,80.96264204,31.18389328,36.52384403
2012,73.35688824,79.09952396,63.34024881,81.12430122,31.56070938,37.03719324
2013,73.53940583,79.36745745,63.67427629,81.29037419,31.94444859,37.55105688
2014,73.71784858,79.63006037,64.00004552,81.45987195,32.33684793,38.06905755
2015,73.90818407,79.88691098,64.37090085,81.63309369,32.73756129,38.59107378
2016,74.10507332,80.13743933,64.71960427,81.80877001,33.14632123,39.11625406
2017,74.30750954,80.38289616,65.05272643,81.98963981,33.56412896,39.64485886
2018,74.51669708,80.62499855,65.37220585,82.17306441,33.99235199,40.17708574
2019,74.73734407,80.87058343,65.67874465,82.36168903,34.43189734,40.71277863
2020,74.95906024,81.11980441,65.97341702,82.55358574,34.88229313,41.25214235
2021,75.19293071,81.36915244,66.25590578,82.74991533,35.3429752,41.79457267
