Year,European Union,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2002,71.24038316,76.16652028,59.34295394,79.46014243,27.99169671,32.22036093
2003,71.46274788,76.48826382,59.71633983,79.62477618,28.33217121,32.66512975
2004,71.68110575,76.79652688,60.09818811,79.78929336,28.67732874,33.11568728
2005,71.89993089,77.09900813,60.52415688,79.95100922,29.02586426,33.57925551
2006,72.11664854,77.39826338,60.96673167,80.11409653,29.37782748,34.03939095
2007,72.33639871,77.69395533,61.39518465,80.28532991,29.73363815,34.45810135
2008,72.55503086,77.98385707,61.81617376,80.45557959,30.09297856,34.96559309
2009,72.7634111,78.26703004,62.23800737,80.62475234,30.45394485,35.47803732
2010,72.97232615,78.54569366,62.656622,80.79198564,30.81736726,35.9983829
2011,73.16805773,78.82516383,63.00198346,80.96264204,31.18389328,36.52384403
2012,73.35688824,79.09952396,63.34024881,81.12430122,31.56070938,37.03719324
2013,73.53940583,79.36745745,63.67427629,81.29037419,31.94444859,37.55105688
2014,73.71784858,79.63006037,64.00004552,81.45987195,32.33684793,38.06905755
2015,73.90818407,79.88691098,64.37090085,81.63309369,32.73756129,38.59107378
2016,74.10507332,80.13743933,64.71960427,81.80877001,33.14632123,39.11625406
2017,74.30750954,80.38289616,65.05272643,81.98963981,33.56412896,39.64485886
2018,74.51669708,80.62499855,65.37220585,82.17306441,33.99235199,40.17708574
2019,74.73734407,80.87058343,65.67874465,82.36168903,34.43189734,40.71277863
2020,74.95906024,81.11980441,65.97341702,82.55358574,34.88229313,41.25214235
2021,75.19293071,81.36915244,66.25590578,82.74991533,35.3429752,41.79457267
